Acceleration x,Acceleration y,Acceleration z,Rotation x, Rotation y, Rotation z
-4.1986694,-8.916077,1.9078827,0.06349182,-0.044830322,0.0019073486
-3.9404297,-8.868301,2.3982544,-0.0073547363,-0.04788208,-0.0032806396
-3.8342285,-8.858749,2.2882385,-0.070892334,-0.020080566,0.002822876
-3.8028412,-8.729813,2.501114,-0.12619019,0.008010864,0.008010864
-3.9428406,-8.586533,2.40065,-0.12678528,0.1020813,0.019622803
-3.995926,-8.682053,2.072937,-0.14541626,0.14118958,0.029403687
-3.925949,-8.708328,2.190155,-0.12922668,0.1533966,0.06390381
-3.923523,-8.739349,1.9868317,-0.067230225,0.16744995,0.06085205
-3.9066315,-8.753693,1.9437714,-0.05744934,0.13754272,0.03642273
-3.9380035,-8.498184,2.123169,-0.04248047,0.08805847,0.0012969971
-4.0249023,-8.820541,2.3575897,-0.06111145,0.07064819,0.01473999
-4.029724,-8.779953,2.4772034,-0.11517334,0.22091675,0.07948303
-4.065918,-8.734589,2.2882233,-0.15000916,0.3769989,0.08682251
-4.164871,-8.784729,1.460556,-0.15916443,0.42341614,0.06573486
-4.4255524,-8.596085,0.8721161,-0.034240723,0.1873169,0.042526245
-4.2348633,-8.259384,1.5084076,0.11907959,-0.06588745,-0.06498718
-3.6459656,-9.004425,1.5203705,0.2522583,-0.33528137,-0.21708679
-3.8342285,-9.331558,3.1756897,-0.020187378,-0.33833313,-0.08270264
-3.9838715,-8.194916,1.5466766,-0.016830444,-0.18835449,0.041305542
-4.4158936,-7.717346,2.9125671,0.6703949,-0.37590027,0.12133789
-3.9476624,-8.596085,3.4101257,0.8909149,0.2951355,0.3027649
-3.5832214,-8.199692,1.044342,0.35243225,0.27468872,0.0990448
-4.008011,-10.609085,3.8694,-0.57333374,-0.16392517,-0.42019653
-3.5132294,-9.637207,3.4292603,-0.78286743,0.43045044,-0.06285095
-5.3523407,-6.9914246,0.7333679,-0.46948242,0.7276459,-0.0087890625
-4.715164,-7.707794,1.338562,0.13986206,0.21115112,-0.24487305
-4.2734833,-7.9776306,2.5920258,0.12458801,0.043762207,-0.40463257
-3.7593994,-9.799591,2.3528137,-0.29386902,0.0978241,-0.44891357
-2.398178,-7.9059753,-2.7686615,0.11665344,-0.72714233,-0.013061523
-4.8889465,-6.989029,4.170807,0.9239197,-2.16391,0.39988708
-5.0651245,-8.567444,4.0775146,0.0809021,-0.77388,0.17538452
-4.25177,-9.033066,2.7833862,-0.030883789,-0.41957092,0.10331726
-3.0377502,-5.89299,1.4677429,-0.13471985,-0.5252533,0.074905396
-2.2316437,-4.5104065,0.85775757,-0.22636414,-1.1480408,0.24320984
-2.9388123,-5.86911,2.27388,-0.47712708,-1.5945892,0.36506653
-3.2791138,-6.6045837,3.4531708,-0.75445557,-1.1614838,0.20562744
-2.6371155,-6.716812,2.824051,-0.82470703,-0.5851288,0.020843506
-2.774704,-7.9728394,2.2834473,-0.5012512,-0.4415741,-0.11109924
-3.3901367,-9.828232,1.8145905,-0.33355713,-0.30625916,-0.4079895
-3.778717,-10.955338,2.673355,-0.41267395,-0.43363953,-0.76353455
-3.5446014,-9.644363,2.9149628,-0.2788849,-0.2809143,-0.9177704
-2.697464,-8.462372,1.8121948,-0.37419128,0.20501709,-0.73939514
-2.4681702,-8.822937,1.4294739,-0.480484,0.29237366,-0.5903473
-2.6081696,-7.932251,1.5012207,-0.551651,0.16134644,-0.29896545
-2.3282013,-8.225967,1.3912048,-0.75842285,0.10147095,0.14300537
-2.7216034,-8.808609,2.266693,-0.87968445,0.090789795,0.5229645
-2.8302002,-9.095154,1.216568,-0.8863983,0.45669556,0.60450745
-3.522873,-9.909424,0.51568604,-0.778595,0.41577148,0.3293152
-4.2035065,-10.119568,-0.17324829,-0.5678406,0.07460022,-0.0042266846
-3.9790497,-10.152985,0.3865204,-0.35159302,-0.49258423,-0.37654114
-4.857559,-11.5833435,1.2667999,-0.34913635,-0.6291199,-0.6602936
-5.0651245,-12.156433,1.6064758,-0.3479309,-0.61994934,-0.70487976
-4.109375,-12.399994,1.4151154,-0.2746277,-0.5539856,-0.75283813
-2.728836,-10.63295,0.41999817,-0.12556458,-0.6312561,-0.6526489
-2.446457,-10.890839,0.98931885,0.040893555,-0.91348267,-0.17648315
-3.6677094,-11.841232,2.1136017,0.17527771,-0.8197174,0.17140198
-3.419098,-10.449097,2.1518707,-0.016525269,-0.20150757,0.31648254
-2.0940857,-8.682053,2.1255646,-0.2819519,0.17753601,0.37483215
-1.6113739,-8.331039,1.5969238,-0.28347778,0.3995819,0.5788574
