Acceleration x,Acceleration y,Acceleration z,Rotation x, Rotation y, Rotation z
-7.538849,-7.717163,-0.7599945,0.2892456,-0.28593445,-0.032806396
-6.5372314,-7.4019775,-0.2743988,0.28649902,-0.19949341,-0.03463745
-6.348984,-7.2252502,0.85469055,-0.11943054,0.26446533,-0.061203003
-6.479309,-6.984085,2.115326,-0.397995,0.33563232,-0.10946655
-6.4575806,-6.902893,1.7588959,-0.29504395,0.029586792,-0.045013428
-6.2451935,-6.6855927,0.8809967,-0.098968506,-0.20744324,0.032562256
-6.0979767,-5.9286346,0.9049225,-0.07147217,-0.40260315,-0.012649536
-5.6007843,-5.983551,0.6083069,-0.08125305,-0.4041443,-0.18154907
-5.51149,-5.682678,0.82359314,-0.19548035,-0.48355103,-0.47781372
-5.3473663,-5.1764526,1.1991425,-0.4080658,-0.43193054,-0.8012848
-5.3280487,-5.5059814,1.4718475,-0.54367065,-0.23400879,-1.1348114
-5.583893,-6.4109955,0.55807495,-0.547348,0.07295227,-1.5217896
-5.9314423,-6.7906647,0.09161377,-0.5366516,0.010955811,-1.8195953
-5.5500946,-6.1387634,0.44802856,-0.5250397,-0.19308472,-2.0098877
-4.6619263,-5.135849,0.06768799,-0.58735657,-0.084350586,-2.04776
-3.4286041,-4.3669434,-0.22416687,-0.691803,-0.03730774,-1.9149017
-1.7415619,-5.226593,0.09161377,-0.65852356,-0.45239258,-1.7563782
-1.6353607,-7.2969055,0.9527588,-0.57147217,-0.82014465,-1.9011536
-2.1639252,-9.40303,0.06768799,-0.55192566,-0.683609,-2.220337
-2.636963,-10.778458,0.36669922,-0.14845276,-0.84121704,-2.5019379
-2.7310944,-12.034485,3.0888977,0.5848999,-1.1481781,-2.4264984
-2.427002,-11.58316,2.275589,0.62612915,-0.06604004,-1.9313812
-1.6329498,-11.022018,2.0292053,0.7953491,1.2736053,-1.5147705
-1.0778503,-10.198181,0.6513519,1.0650482,2.2702332,-1.0602875
-0.77856445,-10.038208,-0.56144714,0.7012787,2.6593628,-0.8956604
-0.8895874,-10.730682,0.08442688,0.10140991,1.8453827,-1.2044525
-1.6039886,-10.907379,1.6990967,-0.057113647,0.8896637,-1.4060364
-1.408493,-9.921188,-0.3174591,-0.020477295,0.76290894,-1.0297394
-1.2926483,-10.59697,-1.8938293,-0.3063507,0.30140686,-0.053878784
-1.3674622,-12.956207,1.1010742,-0.6963959,-1.7538757,-0.028533936
-1.804306,-14.002106,2.8090363,-0.49113464,-2.6365814,-0.4973755
-1.6474304,-13.620026,2.4238892,-0.13529968,-1.5171509,-1.0505066
-1.1067963,-11.693008,0.75660706,0.016799927,-0.025726318,-1.08992
-0.904068,-10.276993,-0.8413086,-0.22602844,0.86828613,-0.8981018
-1.5822601,-11.626144,0.034194946,-0.5528412,0.547287,-0.6882782
-2.4390717,-12.34491,1.5316467,-0.7831421,-0.06451416,-0.56518555
-2.0504913,-10.348633,2.5506744,-0.7965698,-0.32473755,-0.44299316
-1.2974701,-9.923569,2.2062225,-0.44837952,-0.2923584,-0.23225403
-0.11001587,-9.842392,1.3618164,0.04246521,-0.174469,0.17489624
0.8674774,-9.412582,0.10357666,0.44776917,0.06347656,0.50323486
0.68162537,-10.260269,0.12509155,0.5873413,0.08576965,0.68984985
0.0010070801,-10.479965,0.022247314,0.5109863,0.13128662,0.5976105
-0.645813,-10.210129,0.20881653,0.26420593,0.14624023,0.30836487
-1.8284454,-10.362946,1.3594208,0.040618896,0.05369568,-0.017227173
-3.1558838,-11.587936,2.0507355,0.09957886,0.19786072,-0.017837524
-3.2113953,-10.434586,2.292328,0.28833008,0.7118988,0.19076538
-2.5742188,-8.0849,1.3115692,0.20188904,1.5371857,0.19688416
-2.4559479,-8.111176,0.27818298,-0.34910583,2.3340912,-0.37153625
-2.207367,-8.591141,-0.6164551,-0.703125,2.6618195,-0.659256
-1.7874146,-8.772614,-1.3532257,-0.7858887,2.4745789,-0.6714783
-1.3940125,-9.09259,-1.7933655,-0.9263916,1.8377533,-0.503479
-0.8292389,-9.491379,-2.1115112,-1.1405029,0.99383545,-0.25668335
-0.13897705,-9.515259,-2.1497955,-1.244339,-0.05960083,-0.04196167
0.41854858,-9.68956,-1.8364105,-1.1331635,-1.3149414,0.015151978
0.42338562,-9.7397,-1.2168732,-0.89401245,-2.5455475,-0.062423706
0.6068115,-10.033432,-0.5566559,-0.6301117,-3.2147522,-0.1006012
0.6405945,-10.19342,0.25906372,-0.3894348,-3.1273956,-0.15589905
0.32200623,-9.992828,0.79248047,-0.22969055,-2.3628998,-0.2606659
-0.10519409,-9.851944,0.54611206,-0.08001709,-1.1799469,-0.2679901
-0.30551147,-9.751648,-0.30549622,0.058029175,0.037826538,-0.076171875
-0.18000793,-9.563004,-1.0207214,0.09925842,0.8893738,0.15840149
-0.085876465,-9.584503,-1.5661316,0.092544556,1.2669067,0.22009277
-0.14381409,-9.792252,-1.9153748,0.07147217,1.2613983,0.12388611
-0.1486206,-10.011932,-1.8699188,0.039093018,0.9416199,0.011795044
-0.052078247,-10.026276,-1.3005981,-0.0033721924,0.43092346,-0.041656494
-0.35379028,-10.088333,-0.47294617,-0.039398193,-0.13076782,-0.05570984
-0.6047821,-10.04776,-0.1930542,-0.04612732,-0.43925476,-0.062423706
-0.75201416,-9.921204,-0.40356445,-0.026885986,-0.3366394,-0.057235718
-0.8220062,-9.66568,-0.7575989,0.015579224,-0.034561157,-0.023956299
-0.8678589,-9.608383,-1.1235962,0.06199646,0.21711731,-0.0031738281
-0.8823395,-9.675232,-1.3962708,0.07940674,0.30966187,1.8310547E-4
-0.8147583,-9.715836,-1.5039215,0.05680847,0.25315857,-0.0056152344
-0.77856445,-9.828064,-1.4106293,0.0051879883,0.10746765,-0.01600647
