Acceleration x,Acceleration y,Acceleration z,Rotation x, Rotation y, Rotation z
-7.4659576,-6.5337524,1.5188904,-0.33076477,-0.14620972,0.014984131
-7.4154816,-6.4355316,1.9608612,-0.20523071,-0.105285645,-0.0015106201
-7.25679,-6.3636627,1.9944916,-0.06350708,0.08470154,-0.015853882
-7.227936,-6.1623993,2.2442932,0.020477295,0.11555481,0.0287323
-7.441925,-6.10968,2.4364624,0.044311523,0.0382843,0.049194336
-7.590988,-5.834152,2.2731323,-0.019226074,-0.010284424,0.03881836
-7.4371033,-6.1743774,2.0929718,-0.09312439,-0.12971497,0.013168335
-7.4130707,-6.064163,2.1121979,-0.09098816,-0.1660614,-0.0033416748
-7.367386,-6.176773,2.5013123,-0.07266235,-0.19966125,-0.040298462
-7.5837708,-6.0689545,2.54216,-0.06930542,-0.10986328,-0.061676025
-7.783325,-5.9898834,2.1626282,-0.046401978,0.0572052,-0.09863281
-7.386627,-6.29657,2.2490997,-0.013717651,0.101486206,-0.14567566
-6.8360443,-6.636795,2.2635193,-0.011581421,0.09263611,-0.12185669
-7.5044403,-6.1791687,2.1121979,-0.022888184,0.0718689,-0.020446777
-8.620026,-5.520279,2.0137024,-0.02319336,0.004058838,0.07270813
-8.098297,-5.8437347,2.2683258,0.005218506,-0.085128784,0.14938354
-7.31691,-5.9779053,2.8039703,0.024765015,-0.0118255615,0.13960266
-6.8095856,-5.9946747,2.157837,-0.020736694,0.2444458,0.0934906
-6.2421875,-6.7062683,1.917633,-0.1138916,0.24627686,0.10142517
-6.8360443,-6.6391754,1.7206573,-0.115737915,0.052627563,0.158844
-7.6847534,-5.8053894,2.165039,-0.044265747,-0.10374451,0.14907837
-7.377014,-5.8317566,2.2923431,0.041259766,-0.06037903,0.17381287
-7.3096924,-6.078537,2.37883,0.10601807,0.1809082,0.01071167
-7.2615967,-6.2726135,2.3403778,0.09194946,0.3675232,-0.13772583
-7.163025,-6.7661743,2.0809631,-0.009765625,0.39501953,-0.16644287
-7.083679,-6.4163513,1.6269836,-0.018615723,0.35072327,-0.15177917
-7.3601685,-6.358856,1.9656677,-0.06655884,0.18916321,-0.16125488
