Acceleration x,Acceleration y,Acceleration z,Rotation x, Rotation y, Rotation z
2.230648,-9.642663,0.7562669,-0.04498114,-0.095630795,-0.012659663
2.259214,-9.637893,0.9145877,0.032798234,-0.027453763,-0.015059999
2.3402257,-9.623558,1.0729085,-0.013274234,-0.04929182,-0.009200884
2.3544884,-9.532706,1.0872927,0.0072322693,-0.022660378,0.0041150777
2.2447877,-9.441854,1.0441021,0.020281926,-0.0024205216,-1.4580967E-4
2.1493907,-9.460996,0.9433369,-0.02525791,-0.059678588,-0.02038565
2.1302786,-9.499268,0.91454,-0.041769315,-0.09909349,-0.007868637
2.1350055,-9.537539,1.0680629,0.051441424,-0.058613624,0.00890943
2.1254287,-9.499293,1.1496176,0.12095005,-0.059146408,-0.0033409332
2.1682978,-9.408441,1.1256185,0.074344955,-0.03890655,0.01823082
2.2063994,-9.365411,1.1495984,0.0218809,-0.010410901,0.032079414
2.2111263,-9.336729,1.1208014,0.037860036,0.04764581,0.093598545
2.2349238,-9.360654,1.0824088,0.057833906,0.10783306,0.19772823
2.2396507,-9.633263,1.005633,0.058366716,-0.024259783,0.29919475
2.2491455,-9.834134,0.9960277,0.062095318,0.0750759,0.25285596
2.3492284,-9.70024,1.1543485,0.23626608,0.2567032,0.25338876
2.3873296,-9.408528,0.95282763,0.2919263,0.46709257,0.2882763
2.0249357,-9.566359,0.8952434,0.09804851,0.33473343,0.35885015
2.3586407,-9.327253,1.1255326,-0.10195454,0.21302693,0.42755982
2.2775474,-9.030759,0.96719265,-0.16986491,0.2236794,0.5141127
2.2298284,-8.868169,0.9287999,-0.07292575,0.3230151,0.6957402
2.363286,-8.849052,0.8952052,0.033334464,0.39385498,0.8584594
2.434762,-8.930365,0.9527704,-0.039902225,0.41835588,1.0145208
2.434721,-8.992549,1.1686658,-0.07026205,0.41009995,1.1263736
2.334556,-9.011691,1.3077952,-0.13284612,0.38613135,1.1695168
2.3011403,-8.686502,1.8835323,-0.09396381,0.2172869,1.4353002
2.5156503,-10.255134,0.82798713,-0.023389919,0.5003806,1.3932226
1.8004392,-10.111675,0.61687034,-0.059076067,0.25430453,1.1367605
1.9625033,-9.375203,1.2693738,-0.027384298,0.4524434,0.88376063
2.1007285,-8.844371,0.82795846,0.02508011,0.18452947,0.57270384
1.9719571,-8.327887,0.8711299,-0.008741827,0.16615352,0.20492174
2.000523,-7.8448787,1.230962,-0.12458905,0.11741757,-0.0419529
1.9480361,-7.82098,1.4324639,-0.08091307,0.18852375,-0.5684592
2.1482425,-8.194018,1.1685703,0.1486514,0.2372594,-1.023593
2.2101831,-8.810957,1.2309333,0.29725584,0.27614138,-1.3122791
2.0337338,-9.413548,1.139764,0.103910685,0.19944225,-1.4811232
1.6570361,-10.063965,1.0773818,-0.12938185,-0.027991664,-1.6789958
1.5282644,-10.475262,1.2596922,-0.10248376,-0.46155405,-1.933061
1.6664897,-11.001336,1.245289,0.018956464,-0.5694121,-2.2177525
1.5472537,-10.374858,1.3268435,0.09219352,-0.60137016,-2.4140275
1.613962,-9.064498,1.4803662,0.1326737,-0.54331344,-2.4648936
1.923828,-8.739309,1.08693,0.23440655,-0.6301326,-2.2931197
1.4422392,-8.681934,1.2164634,0.26450044,-0.7193486,-1.8350558
1.6472135,-9.069319,1.0725172,0.13054372,-0.44664127,-0.7279806
1.13225,-9.461486,1.230838,0.078345984,-0.19017926,0.31970623
1.2657075,-10.786217,1.1876475,0.073818795,-0.12972568,0.89228547
1.6709297,-11.159254,1.0532969,0.007506322,-0.07965845,1.2547415
0.8555944,-10.877108,0.99571276,-0.044957727,0.046841446,1.4997524
-2.4056234,-8.811133,1.9792706,-0.30994183,0.26548666,1.7157347
-0.751237,-9.026353,1.6865897,-0.49716172,0.36056125,1.9016234
1.1129327,-8.45248,0.7365981,-0.47210655,0.5608301,2.1010902
0.9507865,-8.42858,0.75098217,-0.3354855,0.6124945,2.0241258
1.1748322,-10.097643,1.8448914,-0.24893257,0.5962491,2.0739274
0.1258747,-11.030219,1.4850402,-0.28994495,0.4303341,2.2315865
-0.6942284,-11.388909,0.37671825,-0.25186157,0.31075805,2.2307878
-0.8754458,-11.819336,0.7557419,-0.1626455,0.12806514,1.8054816
-1.3474993,-11.431975,1.8304596,-0.20632106,0.12273863,1.0328994
-1.3284692,-11.011139,1.748886,-0.11790395,0.14990264,-0.0038681496
-1.4620084,-10.088154,1.0483845,-0.104854226,0.1879856,-0.7695261
-1.6956718,-9.036043,1.26428,0.056799755,0.29025072,-1.3575513
-1.5336074,-8.54347,1.6385059,0.204339,0.23565575,-1.705626
-2.711296,-6.338808,1.4273891,0.1753108,-0.28579095,-1.9770017
1.6464348,-11.183369,0.84683496,0.116721556,-0.65650284,-2.197511
0.59747714,-11.365111,1.5137322,0.15427235,-0.89592105,-2.314157
0.5020802,-10.781673,1.0915083,0.08716098,-0.7640949,-2.1703463
0.5973952,-11.092541,1.1250839,-0.004185125,-0.71509296,-1.8020312
0.23023349,-11.57079,1.2114365,-0.010310148,-0.590191,-0.9439612
0.16344321,-11.188214,1.3121825,0.060796436,-0.34544694,0.25872156
-0.079755634,-10.896501,1.4513118,0.09781459,-0.22800183,1.0331683
0.16336125,-10.556964,1.4944834,-0.018831529,0.015943317,1.4819108
0.5733513,-9.280082,1.8063364,-0.15704924,0.24976847,2.046767
0.86414623,-8.548391,1.8830932,-0.32536063,0.48465887,2.398038
1.379028,-8.17538,1.873488,-0.2950004,0.80716723,2.4920478
1.7031974,-8.294951,1.5999986,-0.11257374,0.6268711,2.5373216
2.0416708,-8.261487,0.9618699,-0.14000404,0.37120768,2.4441113
1.8652209,-8.577136,1.1105949,-0.19353329,0.23192428,2.1812577
1.7841271,-8.567583,1.2449263,-0.15118882,0.28465462,1.4539492
1.4408044,-9.045835,1.0242138,-0.144797,0.36188602,0.2856217
1.66485,-10.0597105,1.0194063,-0.14426412,0.4644174,-0.78603315
2.0605369,-10.820121,1.5663563,-0.020426996,0.53685516,-1.5484953
2.8376474,-10.858392,1.6191235,0.019786945,0.26654434,-2.1594238
3.2190309,-10.112354,1.3120489,0.13616723,-0.39764768,-2.6055026
3.309578,-10.093238,1.6862748,0.3377686,-0.65730584,-2.845453
2.8279886,-10.609747,0.57315487,0.4251204,-0.8333409,-2.8137612
2.3463998,-9.662848,0.6786989,0.3516175,-0.6674263,-2.3623557
3.3189907,-8.209019,0.908988,0.27065772,-0.6298759,-1.7495625
3.3284855,-7.898177,0.96655315,0.07891053,-0.63866454,-0.80280924
2.6895585,-7.152138,1.2160339,0.076780245,-0.5872658,0.19800602
3.190137,-7.027809,1.1968328,0.17531736,-0.6557092,0.91972226
3.261613,-7.051734,0.9521309,-0.0260172,-0.45224404,1.3823133
2.3175473,-7.319559,1.2735798,-0.35331917,-0.22773997,1.8225336
2.241221,-7.2765307,0.5155039,-0.35757998,0.15815154,1.9780623
1.8549882,-7.8408637,1.0240707,-0.125086,0.6641515,1.9200057
2.2173004,-7.8265295,0.16523889,-0.07102361,0.8487082,1.861949
1.7881571,-7.855236,0.064473644,-0.08966549,0.75336695,1.7908429
3.413937,-9.4190855,-0.10346202,-0.11310105,0.5525645,1.6800556
3.2613258,-10.523828,0.24197647,-0.04305972,0.34616956,1.3423674
0.5913157,-9.926043,1.3646729,0.06852688,0.16028085,0.39055464
1.1014295,-10.547764,0.6593737,0.012334468,0.35655543,-0.34927064
3.3646646,-12.50899,-0.06545003,-0.011900304,0.37866184,-0.84648544
1.567148,-11.586007,1.930459,-0.10218919,0.46388948,-1.348498
0.6039965,-10.538685,1.0524324,-0.010310181,0.29105043,-1.6744685
-0.9217555,-10.208717,0.9996427,0.11752148,-0.20749292,-1.9327949
-1.517786,-9.89788,1.5945681,0.27810997,-0.52121305,-2.1202812
-1.1078104,-9.902679,1.4554166,0.3651953,-0.6381258,-2.0233421
-0.39746317,-10.978731,0.99000835,0.32365006,-0.6093637,-1.7013663
-0.006558627,-10.4192095,1.8344241,0.22617848,-0.47647208,-1.0044178
0.7800735,-9.969683,1.0571531,0.22511323,-0.43918788,-0.09521528
0.16497174,-10.45272,1.7144511,0.25147852,-0.4253395,0.83396083
-0.27848917,-10.122753,0.7788498,0.21765646,-0.60350484,1.3330369
-0.43111417,-10.672743,0.4573783,-0.05984466,-0.35689637,1.490696
0.2649297,-11.77749,0.7644304,-0.23188469,0.252967,1.4150622
0.9419024,-11.404481,0.7548217,-0.20951411,0.7144924,1.1926885
-0.6792058,-9.582413,0.9515223,-0.039338242,0.51235855,0.78016514
-1.1751125,-10.170662,0.841158,0.13083763,0.35043854,0.072297595
-0.6268705,-10.69674,1.0042734,0.14921346,0.28252795,-0.5412942
-0.41237465,-10.38112,1.1338035,0.08316716,0.07160575,-0.8803143
-0.26462808,-11.294571,1.15778,-0.008179167,-0.12733224,-0.99110156
-0.07873914,-10.888086,1.383268,-0.117368646,-0.30176914,-0.70774156
0.8986052,-7.7317343,1.3352761,0.18756308,0.021005662,-0.045946516
0.97483456,-7.7604456,1.7238925,0.089558855,-0.07300387,-0.048609644
1.804377,-9.859926,0.8650573,-0.047061164,-0.048769146,-0.022510666
2.6720614,-9.77386,0.47641543,-0.026288496,-0.090314455,-0.028635902
2.0521922,-9.864742,0.716297,-0.026288467,-0.13931659,-0.035560083
1.494304,-10.218656,0.7738588,-0.04786002,-0.076466076,-0.024374792
1.6182117,-10.290407,0.8026332,-0.035076827,0.028462354,0.0019905092
1.141376,-11.0938635,0.2028842,-0.022293637,0.07346971,0.027290544
0.3260265,-8.167066,0.8553843,-0.011907287,0.058023363,0.04060637
1.2127825,-6.7132406,0.86496717,-0.00844515,0.023934906,0.04460114
1.7610244,-7.971023,0.43314433,-0.04066934,0.004227507,0.034214847
2.099483,-8.487537,0.41873777,-0.081948265,0.017809592,0.039807506
2.4570131,-8.9227495,0.9129075,-0.07928508,0.035919048,0.0392749
2.5713854,-10.008366,0.3227542,-0.07262716,0.0439085,0.03288335
1.9515156,-9.898388,0.58182734,-0.07795344,0.024467412,0.032617062
2.5998812,-8.568904,1.0088266,-0.058778666,0.013814752,0.028888665
2.8429842,-8.501968,0.6057911,-0.0076459893,0.016477885,0.008648688
2.4853435,-7.8420177,-0.2434482,0.026176156,0.010618911,-0.011591291
1.450675,-7.7463865,0.52420115,0.03762777,0.015945204,-0.018249162
-1.4386685,-7.4833736,-0.18110138,0.039225698,0.026331495,-0.022510188
-0.35166484,-8.994621,-0.33464673,0.04907941,0.008488307,-0.028369108
-0.094258785,-10.0324135,-0.08037144,0.05387313,-0.034921207,-0.029434344
-0.03233263,-10.362413,0.5433413,0.050411057,-0.056492817,-0.016651154
0.42055333,-9.673769,0.09232682,0.10820162,0.013015602,-0.034760606
-0.70470333,-8.81774,0.5673049,0.124180615,-0.00402864,-0.054734267
-1.4056256,-10.568108,1.5844446,0.18569961,-0.28525823,-0.11412268
-0.35199654,-11.735024,1.2965585,0.07544488,-0.42933515,-0.15460268
-0.31867725,-11.620264,0.91271436,-0.104584634,0.13259134,0.021432158
-1.0386705,-11.854617,0.8743184,-0.15411936,0.43858826,0.051525887
-1.3724722,-11.74464,1.157381,-0.06410456,0.1347218,0.044601697
-0.9577286,-10.788181,1.3300922,-0.0012455196,-0.09143542,0.04247461
-0.905338,-10.840805,0.74953467,0.024855142,-0.052821044,0.021703556
-0.6050217,-10.69735,0.9942142,0.021126878,-0.024591692,0.0075889584
0.2054494,-10.840838,0.2505285,-0.0012435012,-0.02805393,-0.008922482
1.726323,-13.002489,0.10657892,-0.010298085,-0.0032866825,-0.013982339
0.15766081,-11.826042,0.25050277,-0.0028410843,0.026007935,-0.019042196
-0.9437569,-10.601771,0.2696814,0.012605393,0.0393236,-0.019840999
-0.8865986,-10.310063,0.855011,0.018730814,0.014556089,-0.01744401
-1.0106168,-8.913626,1.253223,0.014469914,4.4121814E-4,-0.008122811
-0.7865852,-9.530569,1.3395722,0.0032848048,0.014023198,-1.3318995E-4
0.21936584,-11.247459,1.4259213,-0.010030833,0.038790442,-3.9936113E-4
0.94401646,-11.247477,2.0352402,-0.009764362,0.040654525,-0.00466027
1.3873668,-10.305365,2.0208337,-0.005236835,0.016685966,-0.009986443
1.5780236,-8.6363325,1.0084662,-0.0049703633,-3.5838236E-4,-0.01185051
0.81988776,-8.512008,0.677399,-7.0915313E-4,0.0116257025,-0.013714576
0.32874882,-10.200203,0.639003,0.00914469,0.035327684,-0.016910221
0.6576719,-11.496244,-0.41654548,0.014204849,0.04464861,-0.021703765
0.9436847,-12.132317,-0.07111034,0.017400794,0.03559374,-0.025964672
1.3965707,-10.898481,0.11119659,0.020330425,0.02733782,-0.028894003
1.1438221,-8.956854,1.2386876,0.024591634,0.019614527,-0.032355964
0.9435189,-8.693839,0.091979295,0.029918108,0.016684921,-0.03635056
0.8195008,-6.7139525,0.5765532,0.031782478,0.015353212,-0.036084097
0.75746405,-5.0497026,0.7300728,0.030451056,0.016950976,-0.03368711
1.8873781,-6.47965,0.005578669,0.024325944,0.018548742,-0.028893279
1.6823071,-7.182677,0.40379062,0.0243261,0.01988019,-0.020637343
1.6202705,-5.819716,0.28862843,0.022462044,0.010026371,-0.017441409
2.4593487,-7.38357,-0.44546154,0.019799042,-0.0022242893,-0.014245473
3.5272808,-8.43571,-0.76213515,0.021397091,-3.6020868E-4,-0.0155769065
2.2017765,-9.679145,-0.99244666,0.028055144,-9.4023184E-5,-0.015843078
